iter	Passed	Remaining
914	23638	2195
915	23663	2170
916	23688	2144
917	23714	2118
918	23741	2092
919	23764	2066
920	23791	2040
921	23815	2014
922	23842	1989
923	23867	1963
924	23893	1937
925	23917	1911
926	23943	1885
927	23973	1860
928	23998	1834
929	24024	1808
930	24049	1782
931	24075	1756
932	24099	1730
933	24125	1704
934	24151	1678
935	24177	1653
936	24202	1627
937	24227	1601
938	24253	1575
939	24278	1549
940	24302	1523
941	24326	1497
942	24353	1472
943	24377	1446
944	24403	1420
945	24428	1394
946	24455	1368
947	24479	1342
948	24507	1317
949	24534	1291
950	24560	1265
951	24584	1239
952	24609	1213
953	24637	1187
954	24662	1162
955	24687	1136
956	24711	1110
957	24737	1084
958	24763	1058
959	24789	1032
960	24813	1007
961	24839	981
962	24864	955
963	24890	929
964	24914	903
965	24940	877
966	24966	852
967	24991	826
968	25021	800
969	25045	774
970	25072	748
971	25097	722
972	25124	697
973	25149	671
974	25174	645
975	25201	619
976	25225	593
977	25251	568
978	25277	542
979	25302	516
980	25328	490
981	25356	464
982	25383	438
983	25407	413
984	25433	387
985	25471	361
986	25497	335
987	25524	310
988	25553	284
989	25579	258
990	25604	232
991	25630	206
992	25654	180
993	25681	155
994	25706	129
995	25732	103
996	25757	77
997	25783	51
998	25812	25
999	25836	0
