iter	RMSE
753	6231.088139
754	6224.752791
755	6214.06011
756	6213.066095
757	6200.35236
758	6195.702256
759	6183.983098
760	6170.337206
761	6164.561529
762	6153.598198
763	6140.655498
764	6125.952252
765	6115.366298
766	6099.050177
767	6098.046529
768	6094.437417
769	6088.270538
770	6073.814129
771	6065.239918
772	6052.489107
773	6050.46277
774	6041.151029
775	6036.368986
776	6035.186358
777	6026.015408
778	6012.1287
779	5997.764974
780	5989.645702
781	5980.602913
782	5970.455337
783	5957.530608
784	5946.220351
785	5938.105106
786	5928.909394
787	5928.064698
788	5924.350949
789	5911.986927
790	5910.649432
791	5899.071022
792	5886.071625
793	5882.044223
794	5878.470311
795	5869.119934
796	5856.693529
797	5845.026871
798	5835.99067
799	5825.918339
800	5809.703246
801	5795.900766
802	5793.705003
803	5785.304538
804	5776.64855
805	5768.288993
806	5766.547189
807	5759.005094
808	5746.385508
809	5732.921206
810	5722.101494
811	5715.739019
812	5707.622601
813	5702.065461
814	5686.402771
815	5669.728851
816	5660.267232
817	5646.496559
818	5637.178902
819	5628.581828
820	5614.604142
821	5596.11992
822	5587.968455
823	5577.51224
824	5566.888804
825	5557.372858
826	5545.367357
827	5529.404403
828	5523.185804
829	5514.268986
830	5508.147123
831	5496.391015
832	5482.999094
833	5469.811424
834	5460.665008
835	5453.712588
836	5446.82514
837	5436.742341
838	5431.869973
839	5422.813607
840	5413.324816
841	5397.726425
842	5392.03183
843	5382.720441
844	5377.630309
845	5370.112174
846	5360.144346
847	5352.611006
848	5346.530807
849	5342.021127
850	5334.181255
851	5326.368351
852	5316.920319
853	5312.401263
854	5309.904988
855	5297.878275
856	5290.61207
857	5280.058359
858	5267.78481
859	5257.225117
860	5251.754684
861	5249.577235
862	5240.294038
863	5230.928005
864	5219.76907
865	5212.679963
866	5201.311766
867	5191.969129
868	5187.252577
869	5177.154309
870	5168.024436
871	5161.391565
872	5155.545155
873	5143.805743
874	5135.963192
875	5122.322328
876	5116.937758
877	5113.296789
878	5106.493618
879	5098.74335
880	5096.928445
881	5084.006216
882	5075.104484
883	5068.644792
884	5062.59825
885	5052.938008
886	5052.181325
887	5040.007479
888	5034.839456
889	5027.800591
890	5024.745709
891	5013.603206
892	5008.358074
893	5001.532994
894	4994.585246
895	4982.287675
896	4975.000148
897	4970.129582
898	4957.439317
899	4944.652806
900	4934.296805
901	4924.056821
902	4916.908942
903	4908.036395
904	4899.446747
905	4892.936836
906	4885.138395
907	4878.766898
908	4873.344539
909	4861.895623
910	4853.401263
911	4843.372918
912	4838.927075
913	4832.405541
914	4824.053463
915	4820.812893
916	4810.32854
917	4802.602145
918	4796.715342
919	4793.640857
920	4783.649675
921	4778.960427
922	4769.020638
923	4768.030315
924	4758.042181
925	4755.752421
926	4750.946738
927	4743.192958
928	4734.706391
929	4730.225372
930	4720.705078
931	4714.23341
932	4708.305596
933	4699.640436
934	4692.233063
935	4682.241491
936	4674.787878
937	4668.983508
938	4662.023789
939	4652.926526
940	4646.511693
941	4642.846348
942	4634.555375
943	4624.675613
944	4611.357273
945	4605.632723
946	4598.510482
947	4589.725045
948	4583.106544
949	4574.926295
950	4568.551589
951	4564.634026
952	4557.763742
953	4553.030982
954	4548.203977
955	4545.003543
956	4539.89084
957	4533.58769
958	4528.448699
959	4522.147611
960	4509.426453
961	4501.546086
962	4499.677869
963	4491.423798
964	4483.581028
965	4477.310235
966	4472.209226
967	4470.186079
968	4466.414334
969	4464.19879
970	4460.92849
971	4455.646314
972	4442.043797
973	4434.722622
974	4428.576798
975	4419.06009
976	4407.447408
977	4404.855369
978	4400.117826
979	4392.544337
980	4391.088968
981	4381.485929
982	4374.517901
983	4368.146564
984	4363.857495
985	4356.099147
986	4348.408412
987	4343.704457
988	4335.102003
989	4330.748141
990	4321.557024
991	4314.918488
992	4313.454327
993	4310.717537
994	4300.731754
995	4292.954695
996	4286.20801
997	4278.117432
998	4274.093974
999	4263.781471
